题目1: (82.0-81.0)×20.0=
题目2: 71.0+24.0÷43.0=
题目3: 24.0×39.0×57.0=
题目4: 6.0+100.0-14.0=
题目5: 10.0÷36.0÷43.0=
题目6: 28.0+58.0÷87.0×2.0=
题目7: (54.0-31.0)×20.0=
题目8: 78.0+45.0+61.0=
题目9: 71.0×83.0÷28.0=
题目10: 33.0×60.0=
题目11: 47.0+65.0=
题目12: 31.0×45.0×81.0=
题目13: (72.0-6.0)÷32.0=
题目14: 89.0×28.0=
题目15: 73.0-32.0=
题目16: 28.0-10.0=
题目17: 76.0-18.0=
题目18: 89.0+62.0÷1.0+88.0=
题目19: 59.0+86.0=
题目20: 33.0-8.0=
题目21: 100.0-4.0=
题目22: 83.0+22.0=
题目23: 8.0+26.0=
题目24: 68.0-8.0=
题目25: 98.0×45.0×58.0=
题目26: 38.0+93.0÷85.0×95.0=
题目27: 45.0÷17.0+23.0=
题目28: 62.0-24.0-9.0=
题目29: 83.0-31.0+33.0=
题目30: 65.0÷74.0=
题目31: 76.0+47.0=
题目32: 34.0÷23.0=
题目33: 44.0÷19.0+92.0=
题目34: 87.0÷77.0×66.0=
题目35: 51.0÷58.0=
题目36: 71.0+27.0=
题目37: 32.0÷73.0=
题目38: 75.0×53.0=
题目39: 67.0÷87.0×21.0=
题目40: 50.0+3.0÷19.0+89.0=
题目41: 53.0-35.0=
题目42: 47.0÷73.0=
题目43: 10.0÷29.0÷3.0=
题目44: 57.0+61.0=
题目45: 32.0+65.0=
题目46: 59.0×59.0+25.0=
题目47: 34.0+33.0+9.0=
题目48: 94.0-72.0=
题目49: 87.0+8.0÷79.0=
题目50: 75.0+42.0=
题目51: 47.0÷97.0=
题目52: 8.0+12.0×55.0=
题目53: 23.0÷65.0=
题目54: 25.0÷23.0=
题目55: (31.0-26.0)÷83.0=
题目56: 95.0÷44.0×2.0=
题目57: 40.0-19.0+12.0=
题目58: 17.0+17.0÷67.0=
题目59: 57.0-15.0=
题目60: (78.0-17.0)×56.0=
题目61: 8.0+56.0-12.0=
题目62: 97.0×33.0=
题目63: 61.0-6.0=
题目64: 82.0÷6.0=
题目65: 47.0÷57.0÷42.0=
题目66: 79.0-13.0=
题目67: 67.0×26.0=
题目68: 100.0×9.0=
题目69: 7.0×4.0+70.0=
题目70: 40.0÷3.0+91.0=
题目71: 92.0-12.0=
题目72: 46.0÷100.0=
题目73: 40.0×37.0+57.0=
题目74: 39.0×35.0=
题目75: 6.0+38.0-5.0=
题目76: 93.0×57.0÷95.0=
题目77: 21.0-20.0=
题目78: 7.0+34.0+48.0=
题目79: 62.0+7.0+85.0=
题目80: 32.0×68.0+8.0=
题目81: 28.0÷58.0=
题目82: 45.0-99.0+66.0=
题目83: 93.0-27.0=
题目84: 88.0÷99.0+71.0=
题目85: 80.0-56.0+53.0=
题目86: 52.0÷71.0=
题目87: 47.0×58.0+60.0=
题目88: 85.0+24.0=
题目89: 27.0-18.0=
题目90: 25.0÷20.0=
题目91: 52.0-39.0=
题目92: (72.0-11.0)÷72.0=
题目93: 74.0-31.0-22.0=
题目94: (90.0-85.0)×16.0=
题目95: 74.0+63.0=
题目96: 66.0×68.0÷79.0=
题目97: (84.0-31.0)÷39.0=
题目98: 4.0+18.0÷95.0×63.0=
题目99: 40.0+5.0÷13.0=
题目100: 46.0-12.0=
题目101: 61.0×94.0=
题目102: 58.0÷68.0+78.0=
题目103: 65.0+35.0+30.0=
题目104: 86.0×77.0+90.0=
题目105: 60.0-4.0=
题目106: 40.0+73.0+83.0+89.0=
题目107: 69.0÷78.0=
题目108: 23.0+18.0÷11.0=
题目109: 14.0×59.0=
题目110: 43.0×3.0×2.0=
题目111: 90.0÷51.0=
题目112: 12.0-7.0=
题目113: 76.0-23.0=
题目114: 74.0+50.0÷69.0=
题目115: 67.0+9.0=
题目116: 64.0+59.0=
题目117: 38.0×90.0÷31.0=
题目118: 83.0×2.0+45.0=
题目119: 40.0+64.0+22.0=
题目120: 46.0+52.0×5.0+79.0=
题目121: 67.0+70.0×81.0=
题目122: 2.0÷48.0×90.0=
题目123: 2.0×71.0+73.0=
题目124: 69.0÷36.0=
题目125: 15.0+21.0=
题目126: 28.0÷45.0×65.0=
题目127: 60.0-48.0=
题目128: 92.0+85.0+46.0=
题目129: 63.0-48.0=
题目130: (90.0-89.0)×45.0=
题目131: 75.0-2.0=
题目132: 54.0÷72.0+100.0=
题目133: 41.0+58.0=
题目134: 3.0+48.0=
题目135: 69.0+73.0=
题目136: 43.0×91.0×91.0=
题目137: 88.0+51.0÷45.0=
题目138: 84.0÷4.0+94.0=
题目139: 31.0×40.0=
题目140: 4.0+57.0+83.0+70.0=
题目141: 81.0-71.0=
题目142: 17.0÷27.0×50.0=
题目143: 26.0+41.0=
题目144: 47.0×94.0=
题目145: 49.0×17.0+71.0=
题目146: 30.0×36.0×76.0=
题目147: 86.0-83.0=
题目148: 68.0×71.0×63.0=
题目149: 93.0-44.0=
题目150: 86.0+11.0=
题目151: 92.0÷43.0×46.0=
题目152: 51.0×47.0=
题目153: 62.0×80.0×73.0=
题目154: (53.0-47.0)÷25.0=
题目155: 87.0×49.0÷33.0=
题目156: 100.0-41.0=
题目157: 80.0÷11.0÷2.0=
题目158: 35.0×36.0=
题目159: 100.0÷9.0=
题目160: 67.0×77.0=
题目161: 93.0×78.0×96.0=
题目162: 32.0-24.0=
题目163: 100.0-90.0=
题目164: 32.0+21.0=
题目165: 68.0×37.0=
题目166: 94.0+74.0-82.0=
题目167: 64.0+40.0+67.0=
题目168: (79.0-57.0)÷48.0=
题目169: 90.0×78.0÷24.0=
题目170: 10.0×81.0=
题目171: 85.0÷52.0=
题目172: 64.0+10.0=
题目173: 65.0×19.0+29.0=
题目174: 2.0×46.0=
题目175: 51.0+29.0=
题目176: 29.0+58.0-16.0=
题目177: 1.0+46.0=
题目178: 7.0×7.0+15.0=
题目179: 80.0×14.0×30.0=
题目180: (83.0-48.0)×59.0=
题目181: 82.0÷55.0=
题目182: 71.0÷41.0=
题目183: 44.0÷31.0=
题目184: 14.0+85.0-6.0=
题目185: 44.0+48.0-73.0+39.0=
题目186: 53.0×90.0+64.0=
题目187: 47.0+84.0-13.0=
题目188: 28.0÷6.0=
题目189: 87.0×18.0÷8.0=
题目190: 7.0×37.0=
题目191: 25.0+6.0÷46.0=
题目192: 84.0×6.0×12.0=
题目193: 64.0-12.0=
题目194: 94.0×37.0+96.0=
题目195: 61.0÷1.0=
题目196: 48.0-57.0+39.0=
题目197: 32.0×63.0+63.0=
题目198: 100.0+35.0-59.0=
题目199: 88.0+65.0=
题目200: 44.0+60.0=
题目201: 91.0-67.0=
题目202: 85.0-2.0=
题目203: 55.0×60.0×21.0=
题目204: 85.0÷76.0=
题目205: 45.0×65.0×73.0=
题目206: 97.0-9.0=
题目207: 42.0×85.0=
题目208: (68.0-28.0)÷76.0=
题目209: 54.0×70.0÷37.0=
题目210: 91.0-2.0=
题目211: 86.0+69.0×64.0=
题目212: 46.0÷36.0=
题目213: 87.0-86.0=
题目214: 61.0÷49.0×73.0=
题目215: 22.0×4.0=
题目216: 80.0-42.0=
题目217: 66.0-15.0+38.0=
题目218: 53.0+20.0+48.0=
题目219: 99.0-71.0=
题目220: 74.0+17.0+68.0=
题目221: 16.0×69.0+43.0=
题目222: 36.0+95.0=
题目223: 15.0÷36.0÷66.0=
题目224: 13.0+48.0÷77.0=
题目225: 31.0×29.0=
题目226: 58.0+6.0+17.0=
题目227: 88.0÷83.0=
题目228: 27.0×17.0=
题目229: 83.0-63.0=
题目230: 77.0÷27.0=
题目231: (84.0-75.0)÷75.0=
题目232: 40.0+31.0×72.0=
题目233: 89.0-17.0=
题目234: 87.0+73.0=
题目235: 20.0+51.0×39.0=
题目236: (75.0-73.0)÷45.0=
题目237: 30.0÷80.0=
题目238: 32.0×25.0=
题目239: 71.0+31.0=
题目240: 66.0×76.0×62.0=
题目241: 45.0×26.0+80.0=
题目242: 77.0÷84.0=
题目243: 89.0×18.0+23.0=
题目244: 23.0×68.0=
题目245: 8.0-64.0+65.0=
题目246: 27.0+99.0+43.0=
题目247: 22.0-25.0+15.0=
题目248: 62.0-42.0+17.0=
题目249: 96.0÷40.0=
题目250: 21.0÷91.0=
题目251: 7.0÷64.0×93.0=
题目252: 90.0+34.0-89.0=
题目253: 58.0+23.0÷38.0+76.0=
题目254: 88.0×7.0=
题目255: (66.0-13.0)÷10.0=
题目256: 32.0+83.0-98.0+51.0=
题目257: 9.0+20.0=
题目258: 16.0+90.0÷44.0×92.0=
题目259: 64.0-10.0=
题目260: 27.0÷91.0=
题目261: 87.0÷5.0×10.0=
题目262: 40.0+91.0=
题目263: 26.0÷42.0÷64.0=
题目264: 11.0+43.0=
题目265: 93.0-35.0=
题目266: 66.0+6.0×24.0+84.0=
题目267: 43.0×37.0×77.0=
题目268: 59.0×19.0=
题目269: 31.0+6.0-6.0=
题目270: 3.0+87.0=
题目271: 25.0×67.0=
题目272: 35.0×91.0=
题目273: 68.0+30.0×84.0=
题目274: 28.0×79.0÷76.0=
题目275: 60.0-40.0+75.0=
题目276: (74.0-63.0)×18.0=
题目277: 18.0+70.0+85.0=
题目278: 30.0×36.0=
题目279: 14.0÷92.0=
题目280: (37.0-20.0)÷65.0=
题目281: 62.0×96.0÷12.0=
题目282: (95.0-94.0)÷40.0=
题目283: 21.0×11.0+39.0=
